rank,personName,age,country,source,industries,title,finalWorth,gender,birthDate
1286,Vincent McMahon,78,United States,Entertainment,['Sports'],,2600.0,M,-768614400000
1286,Ravi Modi,47,India,Readymade garments,['Fashion & Retail'],,2600.0,M,227059200000
1286,Benjamin Otto,48,Germany,Retail,['Fashion & Retail'],,2600.0,M,171504000000
1286,Julio Ponce Lerou,78,Chile,Fertilizer,['Metals & Mining'],,2600.0,M,-761616000000
1286,Daniel Pritzker,64,United States,"Hotels, investments",['Finance & Investments'],,2600.0,M,-324950400000
1286,George Prokopiou & family,77,Monaco,Shipping,['Logistics'],,2600.0,M,-743731200000
1286,G. Rajendran,81,India,Jewellery,['Fashion & Retail'],,2600.0,M,-859680000000
1286,"Bernard Saul, II. & family",91,United States,"Banking, real estate",['Finance & Investments'],Chairman and CEO,2600.0,M,-1190160000000
1286,Dwight Schar,82,United States,"Homebuilding, NFL team",['Construction & Engineering'],,2600.0,M,-880329600000
1286,Anatoly Sedykh,59,Russia,Steel pipes,['Metals & Mining'],,2600.0,M,-160704000000
1286,Bhadresh Shah,72,India,Engineering,['Manufacturing'],,2600.0,M,-575510400000
1286,Kavitark Ram Shriram,67,United States,"Google, venture capital",['Technology'],Investor,2600.0,M,-408499200000
1286,Hans Sy,68,Philippines,Diversified,['Diversified'],,2600.0,M,-449971200000
1286,Tran Dinh Long,63,Vietnam,Steel,['Manufacturing'],,2600.0,M,-283996800000
1286,Alan Trefler,68,United States,Software,['Technology'],,2600.0,M,-435888000000
1286,Tung Chee Hwa,86,Hong Kong,Shipping,['Logistics'],,2600.0,M,-1025222400000
1286,Xie Weitong,67,Singapore,Cobalt,['Metals & Mining'],,2600.0,M,-410227200000
1286,Jerry Yang,55,United States,Yahoo,['Technology'],Cofounder,2600.0,M,-36374400000
1286,Zhu Xingming,57,China,Electrical equipment,['Manufacturing'],,2600.0,M,-89596800000
1286,Mortimer Zuckerman,86,United States,"Real estate, media",['Real Estate'],Chairman and CEO,2600.0,M,-1028073600000
1330,Juan Abello,82,Spain,Investments,['Finance & Investments'],,2500.0,M,-884995200000
1330,An Kang,75,China,Pharmaceuticals,['Healthcare'],,2500.0,M,-662688000000
1330,Edward Bass,78,United States,"Oil, investments",['Energy'],,2500.0,M,-767145600000
1330,Miriam Baumann-Blocher,49,Switzerland,Chemicals,['Manufacturing'],,2500.0,F,157766400000
1330,Riley Bechtel & family,72,United States,"Engineering, construction",['Construction & Engineering'],former Chairman and CEO,2500.0,M,-560822400000
1330,Andrew Bialecki,,,Marketing software,['Technology'],,2500.0,M,
1330,Christian Birkenstock,51,Austria,Shoes,['Fashion & Retail'],,2500.0,M,85881600000
1330,Alberto Bombassei,83,Italy,Automotive brakes,['Automotive'],,2500.0,M,-922752000000
1330,Charles Bronfman,92,United States,Liquor,['Food & Beverage'],,2500.0,M,-1215475200000
1330,Helena Dassault,34,France,Inherited,['Diversified'],,2500.0,F,625708800000
1330,Remi Dassault,22,France,Inherited,['Diversified'],,2500.0,M,986342400000
1330,K. Dinesh,69,India,Software services,['Technology'],,2500.0,M,-491443200000
1330,Joseph Edelman,68,United States,Hedge funds,['Finance & Investments'],Founder & CEO,2500.0,M,-459561600000
1330,Ali Erdemoglu,64,Turkey,Carpet,['Manufacturing'],,2500.0,M,-319248000000
1330,Bernard Fraisse & family,67,France,Pharmaceuticals,['Healthcare'],,2500.0,M,-422668800000
1330,Christine Franken & family,79,Germany,Biopharmaceuticals,['Healthcare'],,2500.0,F,-788918400000
1330,Paul Gauselmann & family,89,Germany,Gambling,['Gambling & Casinos'],,2500.0,M,-1115596800000
1330,Hans-Werner Hector,84,Germany,SAP,['Technology'],,2500.0,M,-945388800000
1330,Stuart Hoegner,,Canada,Cryptocurrency,['Finance & Investments'],,2500.0,M,
1330,Reid Hoffman,56,United States,LinkedIn,['Technology'],Partner,2500.0,M,-76032000000
1330,Hu Kaijun,62,China,Pharmaceuticals,['Healthcare'],,2500.0,M,-252460800000
1330,Jay-Z,54,United States,Music,['Media & Entertainment'],,2500.0,M,-2419200000
1330,Kei Hoi Pang,58,Hong Kong,Real estate,['Real Estate'],,2500.0,M,-126230400000
1330,Kwek Leng Kee,69,Singapore,Diversified,['Diversified'],,2500.0,M,-473385600000
1330,Anthony Langley,69,United Kingdom,Manufacturing,['Diversified'],,2500.0,M,-475977600000
1330,Alexander Lutsenko & family,61,,agribusiness,['Food & Beverage'],,2500.0,M,-244425600000
1330,"Stephen Mandel, Jr.",68,United States,Hedge funds,['Finance & Investments'],Founder,2500.0,M,-435715200000
1330,Natacha Nikolajevic,57,France,Inherited,['Diversified'],,2500.0,F,-90892800000
1330,Michael Novogratz,59,United States,"Investments, cryptocurrency",['Finance & Investments'],,2500.0,M,-160876800000
1330,Or Wai Sheun,72,Hong Kong,Real estate,['Real Estate'],,2500.0,M,-586569600000
1330,Issad Rebrab & family,80,Algeria,Food,['Food & Beverage'],,2500.0,M,-820540800000
1330,Richard Sands,73,United States,Liquor,['Food & Beverage'],,2500.0,M,-594345600000
1330,Alice Schwartz,97,United States,Biotech,['Healthcare'],,2500.0,F,-1372809600000
1330,Scott Shleifer,46,United States,Private equity,['Finance & Investments'],Partner,2500.0,M,235094400000
1330,Song Zuowen,77,China,"Aluminum, diversified",['Diversified'],,2500.0,M,-719193600000
1330,Alexander Svetakov,56,Russia,Real estate,['Finance & Investments'],,2500.0,M,-59270400000
1330,"Henry Sy, Jr.",70,Philippines,Diversified,['Diversified'],,2500.0,M,-504921600000
1330,Herbert Sy,67,Philippines,Diversified,['Diversified'],,2500.0,M,-418176000000
1330,Lucio Tan,89,Philippines,Diversified,['Diversified'],,2500.0,M,-1119052800000
1330,Larry Tanenbaum,78,Canada,Sports,['Sports'],,2500.0,M,-773280000000
1330,Lottie Tham & family,74,Sweden,H&M,['Fashion & Retail'],,2500.0,F,-653443200000
1330,T.Y. Tsai,71,Taiwan,Finance,['Finance & Investments'],,2500.0,M,-536457600000
1330,Ted Turner,85,United States,Cable television,['Media & Entertainment'],,2500.0,M,-982022400000
1330,John Tyson & family,70,United States,Food processing,['Food & Beverage'],,2500.0,M,-515116800000
1330,Sekar Vembu,52,India,Business software,['Technology'],,2500.0,M,63072000000
1330,Martin Viessmann,70,Germany,Heating and cooling equipment,['Manufacturing'],,2500.0,M,-512092800000
1330,Roger Wang,75,China,Retail,['Fashion & Retail'],,2500.0,M,-662688000000
1330,Xie Liangzhi & family,58,China,Biotech,['Healthcare'],,2500.0,M,-126230400000
1330,Gang Ye,43,Singapore,"Online gaming, e-commerce",['Media & Entertainment'],,2500.0,M,328665600000
1330,Michael Minhong Yu,62,China,Education,['Service'],,2500.0,M,-252460800000
1380,S. Daniel Abraham,99,United States,Slim-Fast,['Food & Beverage'],Chairman,2400.0,M,-1432080000000
1380,Cai Dongchen,71,China,Pharmaceuticals,['Healthcare'],,2400.0,M,-533779200000
1380,Steve Case,65,United States,AOL,['Technology'],,2400.0,M,-358646400000
1380,Chen Tei-fu,75,United States,Herbal products,['Fashion & Retail'],,2400.0,M,-684892800000
1380,Enrique Coppel Luken,76,Mexico,Diversified,['Fashion & Retail'],,2400.0,M,-695865600000
1380,Jim Crane,70,United States,"Logistics, baseball",['Sports'],,2400.0,M,-503539200000
1380,Henry Davis,73,United States,Beef processing,['Food & Beverage'],,2400.0,M,-595641600000
1380,Dong Jinggui,54,China,Electric scooters,['Automotive'],,2400.0,M,
1380,Bernard Ecclestone & family,93,United Kingdom,Formula One,['Sports'],,2400.0,M,-1236384000000
1380,Francois Feuillet & family,75,France,"Motorhomes, RVs",['Automotive'],,2400.0,M,-662688000000
1380,David Fong,66,Hong Kong,Real estate,['Real Estate'],,2400.0,M,-397440000000
1380,"Ernest Garcia, III",41,United States,used cars,['Automotive'],Founder and Chief Executive Officer,2400.0,M,389059200000
1380,Fiona Geminder,59,Australia,Manufacturing,['Manufacturing'],,2400.0,F,-160444800000
1380,Dennis Gillings,79,United States,Clinical trials,['Healthcare'],,2400.0,M,-810604800000
1380,Sam Goi,77,Singapore,Frozen foods,['Food & Beverage'],,2400.0,M,-726192000000
1380,Surjit Kumar Gupta,82,India,Electrical equipment,['Manufacturing'],,2400.0,M,-882576000000
1380,Ugo Gussalli Beretta & family,86,Italy,Firearms,['Manufacturing'],,2400.0,M,-1013385600000
1380,Shmuel Harlap,79,Israel,Automotive,['Automotive'],,2400.0,M,-793152000000
1380,Bent Jensen & Family,72,Denmark,electric systems,['Manufacturing'],,2400.0,M,-569548800000
1380,Bruce Karsh,68,United States,Private equity,['Finance & Investments'],President,2400.0,M,-449020800000
1380,Shlomo Kramer,58,Israel,"Software, investments",['Technology'],,2400.0,M,-120009600000
1380,Geoffrey Kwok,38,Hong Kong,Real estate,['Real Estate'],,2400.0,M,483753600000
1380,Jonathan Kwok,32,Hong Kong,Real Estate,['Real Estate'],,2400.0,M,699408000000
1380,Lam Kong,59,Hong Kong,Pharmaceuticals,['Healthcare'],,2400.0,M,-175046400000
1380,Angela Leong,63,Hong Kong,Casinos,['Real Estate'],,2400.0,F,-276998400000
1380,Solomon Lew,79,Australia,Retail,['Fashion & Retail'],,2400.0,M,-782006400000
1380,Liang Xinjun,55,Singapore,Investments,['Finance & Investments'],,2400.0,M,-39484800000
1380,Jimmy John Liautaud,60,United States,Sandwich chain,['Food & Beverage'],,2400.0,M,-188438400000
1380,Kishore Mariwala,89,India,Consumer goods,['Food & Beverage'],,2400.0,M,-1100736000000
1380,Katarina Martinson,42,Sweden,Investments,['Diversified'],,2400.0,F,357782400000
1380,Dmitry Mazepin,55,Russia,Chemicals,['Manufacturing'],,2400.0,M,-53827200000
1380,Kailashchandra Nuwal,66,India,Industrial explosives,['Manufacturing'],,2400.0,M,-394156800000
1380,Ajay Parekh,66,India,Adhesives,['Manufacturing'],,2400.0,M,-395280000000
1380,Narendrakumar Parekh,85,India,Adhesives,['Manufacturing'],,2400.0,M,-1000684800000
1380,Andreas Pohl,59,Germany,Mutual funds,['Finance & Investments'],,2400.0,M,-171331200000
1380,Bris Rocher,45,France,cosmetics,['Fashion & Retail'],,2400.0,M,276998400000
1380,Daniel Rocher,70,France,cosmetics,['Fashion & Retail'],,2400.0,M,-499305600000
1380,Stephen Rubin,87,United Kingdom,Sports apparel,['Fashion & Retail'],,2400.0,M,-1035331200000
1380,Atul Ruia,53,India,Real estate,['Real Estate'],,2400.0,M,36374400000
1380,Ferit Faik Sahenk,60,Turkey,Diversified,['Diversified'],,2400.0,M,-182736000000
1380,Steven Sarowitz,58,United States,Payroll software,['Technology'],,2400.0,M,-130982400000
1380,Airat Shaimiev,62,Russia,"Refinery, chemicals",['Energy'],,2400.0,M,-246844800000
1380,Basudeo Singh,83,India,Pharmaceuticals,['Healthcare'],,2400.0,M,-918777600000
1380,William Stone,68,United States,Software,['Technology'],,2400.0,M,-464918400000
1380,Sylvia Stroeher,68,Germany,Cosmetics,['Fashion & Retail'],,2400.0,F,-460512000000
1380,Sun Shoukuan,74,China,"Metals, coal",['Manufacturing'],,2400.0,M,-639100800000
1380,Harley Sy,64,Philippines,Diversified,['Diversified'],,2400.0,M,-334108800000
1380,Ivan Tavrin,47,Russia,Private equity,['Finance & Investments'],,2400.0,M,215654400000
1380,Wang Wenjing,59,China,Business software,['Technology'],,2400.0,M,-160099200000
1380,Wang Xicheng & family,75,China,Tires,['Manufacturing'],,2400.0,M,-667958400000
1380,Wang Yanqing & family,57,China,Electrical equipment,['Manufacturing'],,2400.0,M,-117936000000
1380,David Wertheim,66,Israel,Coca-Cola Israel,['Food & Beverage'],,2400.0,M,-378691200000
1380,Yang Weidong & family,55,China,Chemicals,['Manufacturing'],,2400.0,M,-41385600000
1380,Ye Chenghai & family,80,Hong Kong,Pharmaceuticals,['Healthcare'],,2400.0,M,-832550400000
1380,Yu Zhuyun,50,Hong Kong,Diversified,['Construction & Engineering'],,2400.0,M,123552000000
1380,Zhang Bangxin,44,China,Education,['Service'],,2400.0,M,315532800000
1380,Zhu Gongshan & family,66,China,Solar panel materials,['Manufacturing'],,2400.0,M,-378691200000
1380,Zou Zhinong & family,56,China,communication equipment,['Manufacturing'],,2400.0,M,-55296000000
1438,Leonard Abess,75,United States,Banking,['Finance & Investments'],,2300.0,M,-676684800000
1438,Prem Kumar Arora,85,India,Pharmaceuticals,['Healthcare'],,2300.0,M,-987984000000
1438,Pavel Baudis,63,Czech Republic,Software,['Technology'],,2300.0,M,-303955200000
1438,Yvonne Bauer,47,Germany,"Magazines, media",['Media & Entertainment'],,2300.0,F,228441600000
1438,R.G. Chandramogan,75,India,Dairy,['Food & Beverage'],,2300.0,M,-657590400000
1438,Chao Teng-hsiung,79,Taiwan,Real estate,['Real Estate'],,2300.0,M,-796608000000
1438,Bruce Cheng,87,Taiwan,Electronics,['Technology'],,2300.0,M,-1046476800000
1438,Cheng Yixiao,40,China,Video streaming app,['Media & Entertainment'],,2300.0,M,441763200000
1438,Mark Davis,68,United States,Las Vegas Raiders,['Sports'],,2300.0,M,-461548800000
1438,Anand Deshpande,61,India,Technology,['Technology'],,2300.0,M,-242092800000
1438,Egon Durban,50,United States,Private equity,['Finance & Investments'],,2300.0,M,114912000000
1438,Bob Ell,79,Australia,Real estate,['Real Estate'],,2300.0,M,-789782400000
1438,John Fish,64,United States,Construction,['Construction & Engineering'],,2300.0,M,-309744000000
1438,Rolf Gerling,69,Switzerland,Insurance,['Finance & Investments'],,2300.0,M,-474854400000
1438,Kamal Ghaffarian,65,United States,"Space, energy",['Energy'],,2300.0,M,-368582400000
1438,Noam Gottesman,62,United States,Hedge funds,['Finance & Investments'],Chief Executive Officer,2300.0,M,-271641600000
1438,Stein Erik Hagen,67,Norway,Consumer goods,['Fashion & Retail'],,2300.0,M,-424310400000
1438,Caroline Hagen Kjos,40,Switzerland,Conglomerate,['Diversified'],,2300.0,F,441763200000
1438,Luciano Hang,61,Brazil,Department stores,['Fashion & Retail'],,2300.0,M,-228009600000
1438,Patrick Hanrahan,68,United States,Software,['Technology'],,2300.0,M,-462412800000
1438,Kenneth Hao,55,United States,Private equity,['Finance & Investments'],,2300.0,M,-41212800000
1438,Douglas Hsu,81,Taiwan,Diversified,['Diversified'],,2300.0,M,-863308800000
1438,Hu Rongda & family,65,China,Chemicals,['Manufacturing'],,2300.0,M,-347155200000
1438,William Lauder,63,United States,Estee Lauder,['Fashion & Retail'],,2300.0,M,-306892800000
1438,Lee Yeow Seng,46,Malaysia,"Palm oil, property",['Real Estate'],,2300.0,M,252460800000
1438,Lim Kok Thay,72,Malaysia,Casinos,['Gambling & Casinos'],,2300.0,M,-580003200000
1438,Louise Lindh,44,Sweden,Investments,['Diversified'],,2300.0,F,309225600000
1438,Daniel Lubetzky,55,United States,Snack bars,['Food & Beverage'],,2300.0,M,-39744000000
1438,Palmer Luckey,31,United States,"Virtual reality, defense technology",['Technology'],Entrepreneur,2300.0,M,716860800000
1438,Constantinos Martinos & family,71,Greece,Shipping,['Logistics'],,2300.0,M,-534124800000
1438,Ilson Mateus & family,61,Brazil,Supermarkets,['Fashion & Retail'],,2300.0,M,-217814400000
1438,Mi Enhua,66,China,Retail,['Fashion & Retail'],,2300.0,M,-370915200000
1438,Greg Mondre,49,United States,Private equity,['Finance & Investments'],,2300.0,M,138240000000
1438,David Nahmad,76,United States,Art collection,['Fashion & Retail'],,2300.0,M,-716947200000
1438,Adam Neumann,45,United States,WeWork,['Real Estate'],,2300.0,M,291772800000
1438,Alfred Oetker,57,Germany,Consumer goods,['Fashion & Retail'],,2300.0,M,-94694400000
1438,Carl Ferdinand Oetker,51,Germany,Consumer goods,['Fashion & Retail'],,2300.0,M,86918400000
1438,Julia Oetker,45,Germany,Consumer goods,['Fashion & Retail'],,2300.0,F,286156800000
1438,Tor Peterson,59,Switzerland,Commodities,['Metals & Mining'],,2300.0,M,-170467200000
1438,Candido Pinheiro Koren de Lima & family,77,Brazil,"hospitals, health insurance",['Healthcare'],,2300.0,M,-725846400000
1438,"Reinfried Pohl, Jr.",64,Germany,Mutual funds,['Finance & Investments'],,2300.0,M,-320803200000
1438,Jupally Rameshwar Rao,68,India,Real estate,['Real Estate'],,2300.0,M,-451094400000
1438,P.P. Reddy,66,India,Infrastructure,['Construction & Engineering'],,2300.0,M,-389404800000
1438,Christopher Rokos,53,United Kingdom,Hedge fund,['Finance & Investments'],CEO & Founder ,2300.0,M,22723200000
1438,Karin Schick,53,Germany,Information technology,['Technology'],,2300.0,F,16761600000
1438,Stefan Soloviev,48,United States,"Real estate, grains",['Real Estate'],,2300.0,M,169862400000
1438,Teresita Sy-Coson,73,Philippines,Diversified,['Diversified'],,2300.0,F,-607564800000
1438,Jim Thompson,84,Hong Kong,Logistics,['Logistics'],,2300.0,M,-945648000000
1438,Arvind Tiku,54,Singapore,"Oil & gas, investments",['Energy'],,2300.0,M,4492800000
1438,Donald Trump,77,United States,Real estate,['Real Estate'],,2300.0,M,-743212800000
1438,Hamdi Ulukaya,51,United States,Greek yogurt,['Food & Beverage'],Founder and CEO,2300.0,M,88905600000
1438,David Walentas,85,United States,Real estate,['Real Estate'],,2300.0,M,-991008000000
1438,Wang Junshi & family,75,China,Solar inverters,['Manufacturing'],,2300.0,M,-662688000000
1438,Xue Hua,54,China,Agribusiness,['Manufacturing'],,2300.0,M,
1438,Yeung Kin-man,60,Hong Kong,Electronics,['Manufacturing'],,2300.0,M,-181526400000
1438,Yoo Jung-hyun,54,South Korea,Online games,['Media & Entertainment'],,2300.0,F,-22464000000
1438,Patrick Zalupski,43,United States,homebuilding,['Real Estate'],,2300.0,M,344304000000
1438,Anita Zucker,72,United States,Chemicals,['Manufacturing'],,2300.0,F,-566524800000
1496,Cameron Adams,44,Australia,Software,['Technology'],,2200.0,M,315014400000
1496,Mika Anttonen,57,Finland,Oil & gas,['Energy'],,2200.0,M,-95904000000
1496,Lee Bass,67,United States,"Oil, investments",['Energy'],,2200.0,M,-429408000000
1496,Guilherme Benchimol,47,Brazil,financial services,['Finance & Investments'],Investor,2200.0,M,205545600000
1496,Brett Blundy,64,Bahamas,"Retail, agribusiness",['Fashion & Retail'],,2200.0,M,-314236800000
1496,William Boyd & family,92,United States,"Casinos, banking",['Gambling & Casinos'],,2200.0,M,-1204243200000
1496,Timothy Boyle,74,United States,Columbia Sportswear,['Fashion & Retail'],,2200.0,M,-641174400000
1496,Julio Bozano,88,Brazil,Banking,['Finance & Investments'],,2200.0,M,-1070323200000
1496,Anand Burman,71,India,Consumer goods,['Food & Beverage'],,2200.0,M,-557280000000
1496,D. Leopoldo Del Pino,61,Spain,Construction,['Construction & Engineering'],,2200.0,M,-234316800000
1496,Dermot Desmond,73,Ireland,Finance,['Finance & Investments'],,2200.0,M,-615513600000
1496,Timothy Dunn & family,68,United States,Energy,['Energy'],,2200.0,M,-443059200000
1496,Maria Franca Fissolo,89,Monaco,"Nutella, chocolates",['Food & Beverage'],,2200.0,F,-1104537600000
1496,Tom Ford,62,United States,Fashion,['Fashion & Retail'],,2200.0,M,-263433600000
1496,Adam Foroughi,43,United States,mobile games,['Media & Entertainment'],,2200.0,M,326505600000
1496,Luiz Frias,60,Brazil,Media,['Media & Entertainment'],"Entrepreneur, Journalist",2200.0,M,-212716800000
1496,Lawrence Golub,64,United States,Private equity,['Finance & Investments'],Investor,2200.0,M,-323395200000
1496,Alec Gores,71,United States,Private equity,['Finance & Investments'],,2200.0,M,-529891200000
1496,Dmitry Kamenshchik,55,Russia,Airport,['Service'],,2200.0,M,-53136000000
1496,Adam Kwok,41,Hong Kong,Real estate,['Real Estate'],,2200.0,M,418003200000
1496,Kristo Käärmann,43,United Kingdom,"Payments, banking",['Finance & Investments'],Cofounder,2200.0,M,336614400000
1496,Lam Wai-ying,,Hong Kong,Smartphone screens,['Manufacturing'],Chairman ,2200.0,F,
1496,Spiro Latsis & family,77,Switzerland,"Banking, shipping",['Diversified'],,2200.0,M,-737856000000
1496,Li Jianquan & family,67,China,Consumer products,['Healthcare'],,2200.0,M,-410227200000
1496,Liang Rubo,41,China,TikTok,['Technology'],,2200.0,M,410227200000
1496,Prayudh Mahagitsiri,78,Thailand,"Coffee, shipping",['Food & Beverage'],,2200.0,M,-757382400000
1496,Bill Malhotra,74,Canada,Real estate,['Real Estate'],,2200.0,M,-641088000000
1496,Howard Marks,77,United States,Private equity,['Finance & Investments'],Chairman,2200.0,M,-747705600000
1496,Scott Nuttall,51,United States,Private equity,['Finance & Investments'],,2200.0,M,91497600000
1496,Jennifer Pritzker,73,United States,"Hotels, investments",['Finance & Investments'],CEO,2200.0,F,-611798400000
1496,P.V. Krishna Reddy,54,India,Infrastructure,['Construction & Engineering'],,2200.0,M,-15984000000
1496,Larry Robbins,54,United States,Hedge funds,['Finance & Investments'],Investor,2200.0,M,-6220800000
1496,Filiz Sahenk,57,Turkey,Diversified,['Diversified'],,2200.0,F,-90892800000
1496,Sheryl Sandberg,54,United States,Facebook,['Technology'],COO,2200.0,F,-10886400000
1496,Paul Saville,68,United States,Homebuilder,['Real Estate'],,2200.0,M,-443404800000
1496,Radik Shaimiev,59,Russia,"Refinery, chemicals",['Energy'],,2200.0,M,-161913600000
1496,Shi Yonghong & family,55,China,Restaurants,['Food & Beverage'],,2200.0,M,-31536000000
1496,Albert Shigaboutdinov,71,Russia,"Refinery, chemicals",['Diversified'],,2200.0,M,-540777600000
1496,Ryan Smith,45,United States,Cloud computing,['Technology'],Co-Founder & CEO,2200.0,M,267840000000
1496,Rustem Sulteev,70,Russia,"Refinery, chemicals",['Energy'],,2200.0,M,-504662400000
1496,Tang Yiu,90,Hong Kong,Fashion retail,['Fashion & Retail'],,2200.0,M,-1128297600000
1496,Pierre van der Mersch,89,Belgium,Investing,['Finance & Investments'],,2200.0,M,-1102636800000
1496,Weng Xianding,62,China,Medical devices,['Healthcare'],,2200.0,M,-255398400000
1496,Kie Chie Wong,75,Australia,Investments,['Metals & Mining'],,2200.0,M,-686188800000
1496,Xu Shugen,58,China,"Construction, mining machinery",['Manufacturing'],,2200.0,M,-143769600000
1496,Ye Guofu,46,China,Retail,['Fashion & Retail'],,2200.0,M,252460800000
1496,Michael Ying,74,Hong Kong,Retail,['Fashion & Retail'],,2200.0,M,-633830400000
1496,Zhang Fan,58,China,Touch screens,['Technology'],,2200.0,M,-126489600000
1496,Zhang Jingzhang & family,88,China,Precision machinery,['Manufacturing'],,2200.0,M,-1073001600000
1545,Andrey Andreev,50,United Kingdom,Online dating,['Technology'],,2100.0,M,129081600000
1545,Suhail Bahwan,85,Oman,Diversified,['Diversified'],,2100.0,M,-978307200000
1545,Marina Berlusconi,57,Italy,Media,['Media & Entertainment'],,2100.0,F,-107136000000
1545,Pier Silvio Berlusconi,54,Italy,Media,['Media & Entertainment'],,2100.0,M,-21427200000
1545,Thor Bjorgolfsson,57,United Kingdom,Investments,['Diversified'],,2100.0,M,-88041600000
1545,David Booth,78,United States,Mutual funds,['Finance & Investments'],Chairman and CEO,2100.0,M,-757382400000
1545,Richard Branson,73,British Virgin Islands,Virgin,['Diversified'],,2100.0,M,-614044800000
1545,Nicola Bulgari,83,Italy,Luxury goods,['Fashion & Retail'],,2100.0,M,-913852800000
1545,Chang Kuo-Hua,69,Taiwan,"Shipping, airlines",['Logistics'],,2100.0,M,-473385600000
1545,Chen Jinxia,56,China,Investments,['Finance & Investments'],,2100.0,F,-55641600000
1545,Chen Shibin,57,China,Quartz products,['Manufacturing'],,2100.0,M,-99964800000
1545,Jack Cockwell,83,Canada,"Real estate, private equity",['Finance & Investments'],,2100.0,M,-914198400000
1545,Kommer Damen,80,Netherlands,Shipbuilding,['Manufacturing'],,2100.0,M,-812851200000
1545,Jamie Dimon,68,United States,Banking,['Finance & Investments'],CEO,2100.0,M,-435628800000
1545,James Dinan,64,United States,Hedge funds,['Finance & Investments'],Founder,2100.0,M,-334972800000
1545,Domenico Dolce,65,Italy,Luxury goods,['Fashion & Retail'],,2100.0,M,-359337600000
1545,Georgi Domuschiev,51,United Kingdom,"Animal health, investments",['Diversified'],,2100.0,M,81907200000
1545,Kiril Domuschiev,54,United Kingdom,"Animal health, investments",['Diversified'],,2100.0,M,-22291200000
1545,Alfredo Egydio Arruda Villela Filho,54,Brazil,Banking,['Finance & Investments'],,2100.0,M,-3801600000
1545,Miguel Fluxa Rossello,85,Spain,Hotels,['Service'],,2100.0,M,-991958400000
1545,Richard Fortin,75,Canada,Convinience stores,['Fashion & Retail'],,2100.0,M,-673228800000
1545,Stefano Gabbana,61,Italy,Luxury goods,['Fashion & Retail'],,2100.0,M,-225072000000
1545,Gordon Getty & family,90,United States,Getty Oil,['Energy'],President and Chairman,2100.0,M,-1137110400000
1545,David Golub,61,United States,Private equity,['Finance & Investments'],Investor,2100.0,M,-243388800000
1545,John Hancock,48,United Kingdom,Mining,['Metals & Mining'],,2100.0,M,189388800000
1545,Bahaa Hariri,57,Switzerland,"Real estate, investments",['Real Estate'],,2100.0,M,-116294400000
1545,Gerry Harvey,84,Australia,Retail,['Fashion & Retail'],,2100.0,M,-955843200000
1545,"B. Wayne Hughes, Jr.",64,United States,Storage facilities,['Real Estate'],,2100.0,M,-334540800000
1545,Hui Wing Mau,73,Hong Kong,Real estate,['Real Estate'],,2100.0,M,-615513600000
1545,Valentin Kipyatkov,47,Cyprus,Software,['Technology'],,2100.0,M,202780800000
1545,Heikki Kyostila,78,Finland,Dental products,['Healthcare'],,2100.0,M,-755827200000
1545,Joe Lacob,68,United States,Golden State Warriors,['Sports'],,2100.0,M,-441072000000
1545,Aerin Lauder,53,United States,Estee Lauder,['Fashion & Retail'],,2100.0,F,9676800000
1545,Lee Dong-chae,64,South Korea,Chemicals,['Manufacturing'],,2100.0,M,-323568000000
1545,Yin Yee Lee,72,Hong Kong,Glass,['Manufacturing'],,2100.0,M,-568080000000
1545,James Leprino,86,United States,Cheese,['Food & Beverage'],Chairman,2100.0,M,-1013299200000
1545,Liang Yunchao,55,China,Nutritional supplements,['Food & Beverage'],,2100.0,M,-31363200000
1545,Harald Link,69,Thailand,Diversified,['Diversified'],,2100.0,M,-472435200000
1545,Igor Makarov,61,United States,Investments,['Energy'],,2100.0,M,-243475200000
1545,Pawel Marchewka,,,Videogames,['Technology'],,2100.0,M,
1545,Joao Roberto Marinho,70,Brazil,Media,['Media & Entertainment'],,2100.0,M,-514166400000
1545,Jose Roberto Marinho,68,Brazil,Media,['Media & Entertainment'],,2100.0,M,-442368000000
1545,Fernando Masaveu Herrero,57,Spain,Diversified,['Diversified'],,2100.0,M,-114134400000
1545,Ni Yongpei & family,72,China,Beverages,['Food & Beverage'],,2100.0,M,-566179200000
1545,Alberto Palatchi,74,Spain,Wedding dresses,['Fashion & Retail'],,2100.0,M,-647481600000
1545,Fabien Pinckaers,45,Belgium,Software,['Technology'],,2100.0,M,283996800000
1545,Mrudula Parekh,76,India,Adhesives,['Manufacturing'],,2100.0,F,-694310400000
1545,Qian Dongqi,66,China,Home-cleaning robots,['Manufacturing'],,2100.0,M,-378691200000
1545,Jerry Reinsdorf,88,United States,Sports teams,['Sports'],,2100.0,M,-1068249600000
1545,Bianca Rinehart,47,Australia,Mining,['Metals & Mining'],,2100.0,F,227577600000
1545,Ginia Rinehart,37,Australia,Mining,['Metals & Mining'],,2100.0,F,526348800000
1545,Fernando Roig,76,Spain,Supermarkets,['Fashion & Retail'],,2100.0,M,-710726400000
1545,Bennett Rosenthal,60,United States,Finance,['Finance & Investments'],,2100.0,M,-197942400000
1545,T. Denny Sanford,88,United States,"Banking, credit cards",['Finance & Investments'],,2100.0,M,-1073779200000
1545,Stephan Schmidheiny,76,Switzerland,Investments,['Finance & Investments'],,2100.0,M,-699840000000
1545,Thaksin Shinawatra,74,United Arab Emirates,Investments,['Finance & Investments'],,2100.0,M,-644889600000
